Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"Journalist, newspaper",Manufacturing,Increasing,Moderate,132298.57,Master’s Degree,15,1243,6205,16.81,89.71,USA,66.39
Legal secretary,Education,Decreasing,Low,39123.32,Master’s Degree,20,6985,7832,77.5,28.99,USA,46.91
Youth worker,Retail,Decreasing,Moderate,110077.96,Master’s Degree,18,4286,8248,24.27,20.75,USA,67.62
Housing manager/officer,Education,Decreasing,Moderate,92165.61,PhD,17,2582,5018,18.15,66.91,USA,34.93
Operations geologist,Entertainment,Increasing,High,142549.39,High School,5,7635,3586,8.59,70.67,USA,26.25
Secretary/administrator,Retail,Increasing,Low,97806.7,Master’s Degree,4,1437,272,24.61,60.71,USA,28.52
Armed forces operational officer,Finance,Increasing,Moderate,102858.12,High School,20,2105,7045,42.29,10.19,USA,20.25
Tour manager,Retail,Decreasing,Low,80521.07,Bachelor’s Degree,6,3142,507,79.18,8.83,USA,74.74
General practice doctor,Transportation,Increasing,High,94118.58,PhD,0,4069,5391,99.88,21.59,USA,37.47
Air cabin crew,Retail,Decreasing,Low,96498.83,Master’s Degree,10,815,1655,50.9,46.38,USA,74.62
"Therapist, art",Retail,Decreasing,Moderate,74424.16,PhD,5,622,2406,47.96,53.24,USA,53.94
Water engineer,Entertainment,Decreasing,Moderate,33122.25,Bachelor’s Degree,4,187,8383,21.9,8.62,USA,28.55
Animal technologist,Finance,Decreasing,Moderate,112646.79,Associate Degree,7,2976,8835,34.51,94.79,USA,27.37
Ecologist,Education,Increasing,Low,101582.62,Master’s Degree,17,2010,4265,76.32,33.41,USA,34.36
Police officer,Healthcare,Increasing,Low,73217.2,Bachelor’s Degree,14,1024,4511,36.72,75.12,USA,79.33
Museum/gallery conservator,IT,Decreasing,High,115733.83,Master’s Degree,8,245,1348,82.8,82.18,USA,51.48
"Surveyor, commercial/residential",IT,Increasing,Low,74928.04,Bachelor’s Degree,8,6224,4765,97.13,51.86,USA,67.83
"Scientist, research (maths)",Healthcare,Decreasing,High,132375.17,Bachelor’s Degree,11,847,9885,81.56,1.97,USA,79.69
Music therapist,Finance,Increasing,Moderate,31798.64,High School,9,7886,3875,77.57,16.72,USA,71.87
